set ROUTES := 1 2 3 4 5 6 7 8 9 10 ;
set NOEUDS := A B C D E F G H I ;
param Temps :=
  1 6
  2 4
  3 7
  4 5
  5 4
  6 6
  7 5
  8 3
  9 7
  10 6
;
param CONNEXION :=
  A 1 1
  A 2 0
  A 3 0
  A 4 0
  A 5 1
  A 6 0
  A 7 0
  A 8 0
  A 9 1
  A 10 0
  B 1 0
  B 2 1
  B 3 0
  B 4 1
  B 5 0
  B 6 1
  B 7 0
  B 8 0
  B 9 1
  B 10 1
  C 1 0
  C 2 0
  C 3 1
  C 4 1
  C 5 0
  C 6 0
  C 7 1
  C 8 0
  C 9 1
  C 10 0
  D 1 1
  D 2 0
  D 3 0
  D 4 0
  D 5 0
  D 6 1
  D 7 0
  D 8 1
  D 9 0
  D 10 0
  E 1 0
  E 2 0
  E 3 1
  E 4 1
  E 5 0
  E 6 1
  E 7 0
  E 8 0
  E 9 0
  E 10 0
  F 1 0
  F 2 1
  F 3 0
  F 4 0
  F 5 1
  F 6 0
  F 7 0
  F 8 0
  F 9 0
  F 10 0
  G 1 1
  G 2 0
  G 3 0
  G 4 0
  G 5 0
  G 6 0
  G 7 1
  G 8 1
  G 9 0
  G 10 1
  H 1 0
  H 2 0
  H 3 1
  H 4 0
  H 5 1
  H 6 0
  H 7 0
  H 8 0
  H 9 0
  H 10 1
  I 1 0
  I 2 1
  I 3 0
  I 4 1
  I 5 0
  I 6 0
  I 7 1
  I 8 0
  I 9 0
  I 10 0
;
